time,x,y,z,ax,ay,az,q
1569940373,320.464,-100.459,-13.9526,178.418,2.24121,-144.734,344
1569940373,320.464,-100.459,-13.9526,178.418,2.24121,-144.734,344
1569940373,320.464,-100.459,-13.9526,178.418,2.24121,-144.734,344
1569940373,320.464,-100.459,-13.9526,178.396,2.24121,-144.734,344
1569940373,320.464,-100.459,-13.9526,178.396,2.24121,-144.734,344
1569940373,320.464,-100.459,-13.9526,178.396,2.24121,-144.734,344
1569940373,320.464,-100.459,-13.9526,178.396,2.24121,-144.734,344
1569940373,320.464,-100.459,-13.9526,178.396,2.24121,-144.734,344
1569940373,320.464,-100.459,-13.9526,178.396,2.24121,-144.734,344
1569940373,320.464,-100.459,-13.9526,178.396,2.24121,-144.734,344
1569940373,320.464,-100.459,-13.9526,178.396,2.24121,-144.734,344
1569940373,320.464,-100.459,-13.9526,178.396,2.24121,-144.734,344
1569940373,320.464,-100.459,-13.9526,178.396,2.24121,-144.734,344
1569940373,320.464,-100.459,-13.9526,178.396,2.24121,-144.734,344
1569940373,320.464,-100.459,-13.9526,178.418,2.24121,-144.734,344
1569940373,320.464,-100.459,-13.9526,178.418,2.24121,-144.734,344
1569940373,320.464,-100.459,-13.9526,178.418,2.24121,-144.734,344
1569940373,320.464,-100.459,-13.9526,178.418,2.24121,-144.734,344
1569940374,320.464,-100.459,-13.9526,178.418,2.24121,-144.734,344
1569940374,320.464,-100.459,-13.9526,178.418,2.24121,-144.734,344
1569940374,320.464,-100.459,-13.9526,178.418,2.24121,-144.734,344
1569940374,320.464,-100.459,-13.9526,178.418,2.24121,-144.756,344
1569940374,320.464,-100.459,-13.9526,178.418,2.24121,-144.756,344
1569940374,320.464,-100.459,-13.9526,178.418,2.24121,-144.756,340
1569940374,320.464,-100.459,-13.9526,178.418,2.24121,-144.756,340
1569940374,320.464,-100.459,-13.9526,178.418,2.24121,-144.756,340
1569940374,320.464,-100.459,-13.9526,178.418,2.24121,-144.734,340
1569940374,320.464,-100.459,-13.9526,178.418,2.24121,-144.734,340
1569940374,320.464,-100.459,-13.9526,178.418,2.24121,-144.734,340
1569940374,320.464,-100.459,-13.9526,178.418,2.24121,-144.734,340
1569940374,320.464,-100.459,-13.9526,178.418,2.24121,-144.734,340
1569940374,320.464,-100.459,-13.9526,178.418,2.24121,-144.734,340
1569940374,320.464,-100.459,-13.9526,178.418,2.24121,-144.734,340
1569940374,320.464,-100.459,-13.9526,178.418,2.24121,-144.734,340
1569940374,320.464,-100.459,-13.9526,178.418,2.24121,-144.734,340
1569940374,320.464,-100.459,-13.9526,178.418,2.24121,-144.734,340
1569940374,320.464,-100.459,-13.9526,178.418,2.24121,-144.734,344
1569940374,320.464,-100.459,-13.9526,178.418,2.26318,-144.734,344
1569940374,320.464,-100.459,-13.9526,178.418,2.26318,-144.734,344
1569940374,320.464,-100.459,-13.9526,178.418,2.26318,-144.734,344
1569940374,320.464,-100.459,-13.9526,178.418,2.26318,-144.734,344
1569940374,320.464,-100.459,-13.9526,178.418,2.26318,-144.734,344
1569940374,320.464,-100.459,-13.9526,178.418,2.26318,-144.734,344
1569940374,320.464,-100.459,-13.9526,178.418,2.26318,-144.734,344
1569940374,320.464,-100.459,-13.9526,178.418,2.26318,-144.756,344
1569940374,320.464,-100.459,-13.9526,178.418,2.26318,-144.756,344
1569940374,320.464,-100.459,-13.9526,178.418,2.26318,-144.756,344
1569940374,320.464,-100.459,-13.9526,178.418,2.26318,-144.756,344
1569940374,320.464,-100.459,-13.9526,178.418,2.26318,-144.756,344
1569940374,320.464,-100.459,-13.9526,178.396,2.26318,-144.756,344
1569940374,320.464,-100.459,-13.9526,178.396,2.26318,-144.756,344
1569940374,320.353,-100.459,-13.9526,178.396,2.26318,-144.756,344
1569940374,320.353,-100.459,-13.9526,178.396,2.26318,-144.756,344
1569940374,320.353,-100.459,-13.9526,178.396,2.26318,-144.756,344
1569940374,320.353,-100.459,-13.9526,178.396,2.26318,-144.734,344
1569940374,320.353,-100.459,-13.9526,178.396,2.26318,-144.734,344
1569940374,320.353,-100.459,-13.9526,178.396,2.26318,-144.734,344
1569940374,320.353,-100.459,-13.9526,178.396,2.26318,-144.734,344
1569940374,320.353,-100.459,-13.9526,178.396,2.26318,-144.734,344
1569940374,320.353,-100.459,-13.9526,178.396,2.26318,-144.734,344
1569940374,320.353,-100.459,-13.9526,178.396,2.26318,-144.734,344
1569940374,320.353,-100.459,-13.9526,178.396,2.26318,-144.734,344
1569940374,320.353,-100.459,-13.9526,178.396,2.26318,-144.734,344
1569940374,320.353,-100.459,-13.9526,178.396,2.26318,-144.734,344
1569940374,320.353,-100.459,-13.9526,178.396,2.26318,-144.734,344
1569940374,320.353,-100.459,-13.9526,178.396,2.26318,-144.734,344
1569940374,320.353,-100.459,-13.9526,178.396,2.26318,-144.734,344
1569940374,320.353,-100.459,-13.9526,178.396,2.26318,-144.734,344
1569940374,320.353,-100.459,-13.9526,178.396,2.26318,-144.734,344
1569940374,320.353,-100.459,-13.9526,178.396,2.26318,-144.734,344
1569940374,320.353,-100.459,-13.9526,178.396,2.26318,-144.734,344
1569940374,320.353,-100.459,-13.9526,178.396,2.26318,-144.734,344
1569940374,320.353,-100.459,-13.9526,178.374,2.26318,-144.734,344
1569940374,320.353,-100.459,-13.841,178.374,2.26318,-144.734,344
1569940374,320.353,-100.459,-13.841,178.374,2.26318,-144.734,344
1569940374,320.353,-100.459,-13.841,178.374,2.26318,-144.734,344
1569940374,320.353,-100.459,-13.841,178.374,2.26318,-144.734,344
1569940374,320.353,-100.459,-13.841,178.374,2.26318,-144.734,344
1569940374,320.353,-100.459,-13.841,178.374,2.26318,-144.734,344
1569940374,320.353,-100.459,-13.841,178.374,2.26318,-144.734,344
1569940374,320.353,-100.459,-13.841,178.374,2.26318,-144.756,344
1569940374,320.353,-100.459,-13.841,178.374,2.26318,-144.756,344
1569940374,320.353,-100.571,-13.841,178.374,2.26318,-144.756,344
1569940374,320.353,-100.571,-13.841,178.374,2.26318,-144.756,344
1569940374,320.353,-100.571,-13.841,178.374,2.26318,-144.756,344
1569940374,320.353,-100.571,-13.841,178.374,2.26318,-144.756,344
1569940374,320.353,-100.571,-13.841,178.374,2.26318,-144.756,340
1569940374,320.353,-100.571,-13.841,178.374,2.26318,-144.756,340
1569940374,320.353,-100.571,-13.841,178.374,2.26318,-144.756,340
1569940374,320.353,-100.571,-13.841,178.374,2.26318,-144.756,340
1569940374,320.353,-100.571,-13.841,178.374,2.26318,-144.756,340
1569940374,320.353,-100.571,-13.841,178.374,2.26318,-144.756,340
1569940374,320.353,-100.571,-13.841,178.374,2.26318,-144.756,344
1569940374,320.353,-100.571,-13.841,178.374,2.26318,-144.756,344
1569940374,320.353,-100.571,-13.841,178.374,2.26318,-144.756,344
1569940374,320.353,-100.571,-13.841,178.374,2.26318,-144.756,344
1569940374,320.353,-100.571,-13.841,178.374,2.26318,-144.756,344
1569940374,320.353,-100.571,-13.841,178.374,2.26318,-144.756,344
1569940374,320.353,-100.571,-13.841,178.374,2.26318,-144.756,344
1569940374,320.353,-100.571,-13.841,178.374,2.26318,-144.756,340
1569940374,320.353,-100.571,-13.841,178.374,2.26318,-144.756,340
1569940374,320.353,-100.571,-13.841,178.374,2.26318,-144.756,340
1569940374,320.353,-100.571,-13.841,178.374,2.26318,-144.756,340
1569940374,320.353,-100.459,-13.841,178.374,2.26318,-144.756,340
1569940374,320.353,-100.459,-13.9526,178.396,2.26318,-144.756,340
1569940374,320.353,-100.459,-13.9526,178.396,2.26318,-144.756,340
1569940374,320.353,-100.459,-13.9526,178.396,2.24121,-144.756,340
1569940374,320.353,-100.459,-13.9526,178.396,2.24121,-144.756,340
1569940374,320.353,-100.459,-13.9526,178.396,2.24121,-144.756,340
1569940374,320.353,-100.459,-13.9526,178.396,2.24121,-144.756,340
1569940374,320.353,-100.459,-13.9526,178.396,2.24121,-144.756,340
1569940374,320.353,-100.459,-13.9526,178.396,2.24121,-144.756,340
1569940374,320.353,-100.459,-13.9526,178.396,2.24121,-144.756,340
1569940374,320.353,-100.459,-13.9526,178.396,2.24121,-144.756,340
1569940374,320.353,-100.459,-13.9526,178.396,2.26318,-144.756,340
1569940374,320.353,-100.459,-13.9526,178.396,2.26318,-144.756,340
1569940374,320.353,-100.459,-13.9526,178.396,2.26318,-144.756,340
1569940374,320.353,-100.459,-13.9526,178.396,2.26318,-144.756,340
1569940375,320.353,-100.459,-13.9526,178.396,2.26318,-144.756,340
1569940375,320.353,-100.459,-13.9526,178.396,2.26318,-144.756,340
1569940375,320.464,-100.459,-13.9526,178.396,2.26318,-144.756,340
1569940375,320.464,-100.459,-13.9526,178.396,2.26318,-144.756,340
1569940375,320.464,-100.459,-13.841,178.396,2.26318,-144.756,340
1569940375,320.464,-100.459,-13.841,178.396,2.26318,-144.756,340
1569940375,320.464,-100.459,-13.841,178.396,2.26318,-144.756,340
1569940375,320.464,-100.459,-13.841,178.396,2.26318,-144.756,340
1569940375,320.464,-100.459,-13.841,178.396,2.26318,-144.756,340
1569940375,320.464,-100.459,-13.841,178.418,2.26318,-144.756,336
1569940375,320.464,-100.459,-13.841,178.418,2.26318,-144.756,336
1569940375,320.464,-100.459,-13.841,178.418,2.26318,-144.756,336
1569940375,320.464,-100.459,-13.841,178.418,2.26318,-144.756,336
1569940375,320.464,-100.459,-13.841,178.418,2.26318,-144.756,336
1569940375,320.464,-100.459,-13.841,178.418,2.26318,-144.756,336
1569940375,320.464,-100.459,-13.841,178.418,2.26318,-144.756,336
1569940375,320.464,-100.459,-13.841,178.418,2.26318,-144.756,336
